周波数 (Hz)	レベル (dB)
4651.171875	-58.919529
4737.304688	-61.753994
4823.437500	-58.448013
4909.570313	-59.424038
4995.703125	-63.873966
5081.835938	-63.532295
5167.968750	-61.278770
5254.101563	-64.841881
5340.234375	-63.118248
5426.367188	-61.309872
5512.500000	-62.990604
5598.632813	-67.317657
5684.765625	-68.057373
5770.898438	-65.083557
5857.031250	-64.312149
5943.164063	-64.226753
6029.296875	-65.818756
6115.429688	-70.242050
6201.562500	-69.154144
6287.695313	-70.225113
6373.828125	-71.646255
6459.960938	-70.464066
6546.093750	-71.928764
6632.226563	-73.421509
6718.359375	-74.003059
6804.492188	-73.977737
6890.625000	-77.055870
6976.757813	-76.989349
7062.890625	-76.269768
7149.023438	-77.103584
7235.156250	-81.026466
7321.289063	-75.469727
7407.421875	-74.146622
7493.554688	-76.821648
7579.687500	-74.840904
7665.820313	-72.546349
7751.953125	-74.461876
7838.085938	-78.843697
7924.218750	-80.560036
8010.351563	-79.225563
8096.484375	-80.506271
8182.617188	-82.190079
8268.750000	-78.368423
8354.882813	-80.464783
8441.015625	-84.841393
8527.148438	-82.172447
8613.281250	-79.037048
8699.414063	-80.515396
8785.546875	-80.759789
8871.679688	-80.343010
8957.812500	-77.857811
9043.945313	-80.110161
9130.078125	-82.520691
9216.210938	-80.786751
9302.343750	-78.431534
9388.476563	-80.137703
9474.609375	-77.921593
9560.742188	-78.045334
9646.875000	-78.308548
9733.007813	-76.247025
9819.140625	-76.073730
9905.273438	-77.671524
9991.406250	-82.444305
10077.539063	-82.548630
10163.671875	-81.520187
10249.804688	-84.791969
10335.937500	-85.208572
10422.070313	-84.998878
10508.203125	-88.110603
10594.335938	-86.318130
10680.468750	-89.665909
10766.601563	-88.186394
10852.734375	-85.441399
10938.867188	-86.461258
11025.000000	-87.586235
11111.132813	-87.762787
11197.265625	-86.078964
11283.398438	-83.658913
11369.531250	-83.997215
11455.664063	-81.022896
11541.796875	-82.228226
11627.929688	-83.782990
11714.062500	-82.052803
11800.195313	-82.484634
11886.328125	-82.090744
11972.460938	-80.434998
12058.593750	-81.695061
12144.726563	-80.808647
12230.859375	-79.289696
12316.992188	-80.577644
12403.125000	-78.358589
12489.257813	-77.496651
12575.390625	-77.806213
12661.523438	-82.002762
12747.656250	-82.399834
12833.789063	-82.826797
12919.921875	-82.348656
13006.054688	-80.617676
13092.187500	-80.925858
13178.320313	-84.991890
13264.453125	-83.415390
13350.585938	-81.173134
13436.718750	-86.038765
13522.851563	-85.733086
13608.984375	-85.682304
13695.117188	-88.428444
13781.250000	-92.107658
13867.382813	-90.502655
13953.515625	-88.259224
14039.648438	-89.917572
14125.781250	-90.857697
14211.914063	-89.032097
14298.046875	-91.561806
14384.179688	-95.487602
14470.312500	-92.219841
14556.445313	-90.876686
14642.578125	-93.393425
14728.710938	-89.454559
14814.843750	-89.235886
14900.976563	-91.254074
14987.109375	-93.415771
15073.242188	-94.161224
15159.375000	-96.253548
15245.507813	-93.864799
15331.640625	-92.142097
15417.773438	-90.295418
15503.906250	-91.652763
15590.039063	-92.344940
15676.171875	-92.852913
15762.304688	-91.496124
15848.437500	-94.148323
15934.570313	-96.381287
16020.703125	-95.299217
16106.835938	-96.029144
16192.968750	-99.400032
16279.101563	-97.123955
16365.234375	-96.584633
16451.367188	-98.702286
16537.500000	-101.378059
16623.632813	-100.324081
16709.765625	-101.428116
16795.898438	-105.219780
16882.031250	-103.703621
16968.164063	-102.389130
17054.296875	-96.999680
17140.429688	-94.866035
17226.562500	-97.123543
17312.695313	-101.676926
17398.828125	-102.607735
17484.960938	-101.439095
17571.093750	-102.953789
17657.226563	-99.303406
17743.359375	-98.871536
17829.492188	-102.930443
17915.625000	-98.542488
18001.757813	-95.500427
18087.890625	-93.840813
18174.023438	-95.271736
18260.156250	-94.639305
18346.289063	-94.211304
18432.421875	-94.860390
18518.554688	-97.587311
18604.687500	-101.689728
18690.820313	-101.760498
18776.953125	-102.208084
18863.085938	-105.370171
18949.218750	-110.938148
19035.351563	-111.123230
19121.484375	-112.030060
19207.617188	-110.005493
19293.750000	-107.252449
19379.882813	-107.536026
19466.015625	-111.731972
19552.148438	-111.728378
19638.281250	-110.434219
19724.414063	-111.079437
19810.546875	-112.183174
19896.679688	-111.431412
19982.812500	-111.367973
20068.945313	-112.267578
20155.078125	-113.898079
20241.210938	-115.523964
20327.343750	-114.709236
20413.476563	-116.775307
20499.609375	-122.112747
20585.742188	-125.975418
20671.875000	-124.549126
20758.007813	-126.313049
20844.140625	-127.210342
20930.273438	-126.429817
21016.406250	-126.584991
21102.539063	-127.624084
21188.671875	-128.340851
21274.804688	-128.099625
21360.937500	-127.401489
21447.070313	-126.663498
21533.203125	-126.622360
21619.335938	-127.333153
21705.468750	-127.387718
21791.601563	-127.624741
21877.734375	-127.686180
21963.867188	-127.642479
